main_category,subcategory,title,price,rating,reviews,url
Toys,RC Car,CV-E82 CV-E83 1/24 2.4G Drift RC Car LED Light Two Speed Full Scale High Speed Vehicle Models,£22.44,,0 review,https://www.banggood.com/CV-E82-CV-E83-1-or-24-2_4G-Drift-RC-Car-LED-Light-Two-Speed-Full-Scale-High-Speed-Vehicle-Models-p-2035942.html?cur_warehouse=CN&ID=6287830&rmmds=CategoryToysPop&trace_id=366f1763843469918
Toys,RC Car,KF PLAN KF19 1/18 2.4G 4WD Brushless High Speed RC Car Vehicle Models Full Propotional,£44.89,,0 review,https://www.banggood.com/KF-PLAN-KF19-1-or-18-2_4G-4WD-Brushless-High-Speed-RC-Car-Vehicle-Models-Full-Propotional-p-2037987.html?cur_warehouse=CN&ID=531930&rmmds=CategoryToysPop&trace_id=366f1763843469918
Toys,RC Car,1/20 2.4G Mini RTR RC Car Off Road Vehicle Models Toy,£20.89,,0 review,https://www.banggood.com/1-or-20-2_4G-Mini-RTR-RC-Car-Off-Road-Vehicle-Models-Toy-p-2038181.html?cur_warehouse=CN&ID=6334185&rmmds=CategoryToysPop&trace_id=366f1763843469918
Toys,RC Car,HB Toys RTR RP1801-1809 1/18 2.4G 4WD Drift RC Car ESP Gyro Full Proportional Racing LED Light Remote Control High-Speed Motor On-Road Racing Vehicle Model Boys Gifts Toys,£47.22,,0 review,https://www.banggood.com/HB-Toys-RTR-RP1801-1809-1-or-18-2_4G-4WD-Drift-RC-Car-ESP-Gyro-Full-Proportional-Racing-LED-Light-Remote-Control-High-Speed-Motor-On-Road-Racing-Vehicle-Model-Boys-Gifts-Toys-p-2040014.html?cur_warehouse=CN&ID=6298250&rmmds=CategoryToysPop&trace_id=366f1763843469918
Toys,RC Car,XCL-165 1/64 2.4G 4WD Drift RC Car Mini Racing LED Light Full Proportional Remote Control High Speed On-Road Racing Vehicle Model Boys Gifts Toys,£20.12,5.00,1 review,https://www.banggood.com/XCL-165-1-or-64-2_4G-4WD-Drift-RC-Car-Mini-Racing-LED-Light-Full-Proportional-Remote-Control-High-Speed-On-Road-Racing-Vehicle-Model-Boys-Gifts-Toys-p-2040145.html?cur_warehouse=CN&ID=6287842&rmmds=CategoryToysPop&trace_id=366f1763843469918
Toys,RC Car,DLK 585-132 RTR 1/24 2.4G 4WD RC Car Sport Mini Bus Drift Off-Road Simulation Camping Van LED Light High Speed Remote Control Racing Micro Vehicles Model Adventure Toys,£21.67,5.00,1 review,https://www.banggood.com/DLK-585-132-RTR-1-or-24-2_4G-4WD-RC-Car-Sport-Mini-Bus-Drift-Off-Road-Simulation-Camping-Van-LED-Light-High-Speed-Remote-Control-Racing-Micro-Vehicles-Model-Adventure-Toys-p-2040154.html?cur_warehouse=CN&ID=6287837&rmmds=CategoryToysPop&trace_id=366f1763843469918
Toys,RC Car,ZLL SG204 PRO RTR 1/24 2.4G 4WD Drift RC Car Mini LED Light Remote Control High Speed On-Road Racing Vehicle Model Boys Gifts Toys,£23.22,5.00,1 review,https://www.banggood.com/ZLL-SG204-PRO-RTR-1-or-24-2_4G-4WD-Drift-RC-Car-Mini-LED-Light-Remote-Control-High-Speed-On-Road-Racing-Vehicle-Model-Boys-Gifts-Toys-p-2040182.html?cur_warehouse=CN&ID=531930&rmmds=CategoryToysPop&trace_id=366f1763843469918
Toys,RC Car,ZY013 RTR 1/43 2.4G 4WD Drift RC Car Mini Full Proportional LED Light Optional Gyro Remote Control High-Speed On-Road Racing Vehicles Models Boys Gifts Toys,£32.51,,0 review,https://www.banggood.com/ZY013-RTR-1-or-43-2_4G-4WD-Drift-RC-Car-Mini-Full-Proportional-LED-Light-Optional-Gyro-Remote-Control-High-Speed-On-Road-Racing-Vehicles-Models-Boys-Gifts-Toys-p-2040318.html?cur_warehouse=CN&ID=6287845&rmmds=CategoryToysPop&trace_id=366f1763843469918
Toys,RC Car,TRASPED HG4-244 RTR 1/64 2.4G Mini RC Car Alloy Forklift with Trailer Suppprt App Remote Control LED Light Sound Engineering Vehicle Desktop Toys Model Collection Gift For Boys,£17.80,5.00,1 review,https://www.banggood.com/TRASPED-HG4-244-RTR-1-or-64-2_4G-Mini-RC-Car-Alloy-Forklift-with-Trailer-Suppprt-App-Remote-Control-LED-Light-Sound-Engineering-Vehicle-Desktop-Toys-Model-Collection-Gift-For-Boys-p-2040324.html?cur_warehouse=CN&ID=6287843&rmmds=CategoryToysPop&trace_id=366f1763843469918
Toys,RC Car,KAMTOM KM3299 RTR 1/32 2.4G 4WD Drift RC Car ESP Gyro Mini Race LED Light High Speed Racing On-Road Electric Remote Radio Control Vehicles Model Child Toys Boys Kids Gifts,£38.70,,0 review,https://www.banggood.com/KAMTOM-KM3299-RTR-1-or-32-2_4G-4WD-Drift-RC-Car-ESP-Gyro-Mini-Race-LED-Light-High-Speed-Racing-On-Road-Electric-Remote-Radio-Control-Vehicles-Model-Child-Toys-Boys-Kids-Gifts-p-2040336.html?cur_warehouse=CN&ID=6329860&rmmds=CategoryToysPop&trace_id=366f1763843469918
